ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
0002 019 031016,0002,019,1909 W NORTH AVE,03/10/2016,EASTERWOOD,WESTERN,7,"(39.30952601, -76.64848892)"
0007 057 031116,0007,057,1734 APPLETON ST,03/11/2016,EASTERWOOD,WESTERN,7,"(39.30856758, -76.64921157)"
0125 012 030816,0125,012,522 N CAREY ST,03/08/2016,HARLEM PARK,WESTERN,9,"(39.29482152, -76.63877572)"
0151 009 030716,0151,009,317 N GILMOR ST,03/07/2016,FRANKLIN SQUARE,WESTERN,9,"(39.29261888, -76.64231678)"
0074 010 030918,0074,010,945 N MOUNT ST,03/09/2018,Sandtown-Winchester,Western,9,"(39.29975212, -76.64415784)"
0275 060 030716,0275,060,319 S MONROE ST,03/07/2016,CARROLLTON RIDGE,SOUTHERN,9,"(39.28383911, -76.64647246)"
0206 035 031418,0206,035,2023 W BALTIMORE ST,03/14/2018,Boyd-Booth,Southwestern,9,"(39.28783131, -76.64939781)"
0599 008 031116,0599,008,235 PARK AVE,03/11/2016,DOWNTOWN,CENTRAL,11,"(39.29280154, -76.6178644)"
0767 117 030816,0767,117,1329 SARGEANT ST,03/08/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,"(39.28035426, -76.63645611)"
0206 049 031418,0206,049,8 S PAYSON ST,03/14/2018,Boyd-Booth,Southwestern,9,"(39.2875711, -76.64891445)"
0207 047 031418,0207,047,1905 W BALTIMORE ST,03/14/2018,Boyd-Booth,Southwestern,9,"(39.28789672, -76.64717506)"
0215 030 031418,0215,030,1326 HOLLINS ST,03/14/2018,Union Square,Southern,9,"(39.2878181, -76.63895877)"
0219 023 031418,0219,023,3 S SCHROEDER ST,03/14/2018,Hollins Market,Southern,9,"(39.28848956, -76.63356746)"
0855 008 030816,0855,008,622 ARCHER ST,03/08/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,"(39.28160587, -76.63017981)"
0247 043 031518,0247,043,112 S CALHOUN ST,03/15/2018,Union Square,Southern,9,"(39.28598718, -76.63966474)"
1126 056 030716,1126,056,1532 N BOND ST,03/07/2016,OLIVER,EASTERN,12,"(39.30815721, -76.59707552)"
1454 029 030716,1454,029,1816 N MILTON AVE,03/07/2016,BROADWAY EAST,EASTERN,13,"(39.31174375, -76.58335172)"
1477 047 031116,1477,047,1516 RUTLAND AVE,03/11/2016,BROADWAY EAST,EASTERN,12,"(39.30822909, -76.59304661)"
1500 011 030716,1500,011,2131 E OLIVER ST,03/07/2016,BROADWAY EAST,EASTERN,13,"(39.30757991, -76.58751523)"
0264 040 031418,0264,040,1402 MCHENRY ST,03/14/2018,New Southwest/Mount Clare,Southern,9,"(39.28466697, -76.63975999)"
1658 069 030916,1658,069,530 N BELNORD AVE,03/09/2016,MCELDERRY PARK,SOUTHEASTERN,13,"(39.29769466, -76.57887137)"
1661 009 030716,1661,009,3017 MCELDERRY ST,03/07/2016,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,"(39.29784806, -76.57460498)"
0001 003 012512,0001,003,2041 W NORTH AVE,01/25/2012,EASTERWOOD,WESTERN,7,"(39.30941765, -76.65104057)"
0001 006 120214,0001,006,2035 W NORTH AVE,12/02/2014,EASTERWOOD,WESTERN,7,"(39.30942276, -76.65089166)"
0001 007 020113,0001,007,2033 W NORTH AVE,02/01/2013,EASTERWOOD,WESTERN,7,"(39.30942443, -76.65084103)"
0001 008 070115,0001,008,2031 W NORTH AVE,07/01/2015,EASTERWOOD,WESTERN,7,"(39.30942603, -76.65079304)"
0001 015 012816,0001,015,2017 W NORTH AVE,01/28/2016,EASTERWOOD,WESTERN,7,"(39.30943944, -76.65044524)"
0001 026 121410,0001,026,1810 N PAYSON ST,12/14/2010,EASTERWOOD,WESTERN,7,"(39.30902061, -76.65010741)"
0001 028 020808,0001,028,1806 N PAYSON ST,02/08/2008,EASTERWOOD,WESTERN,7,"(39.30894358, -76.65010312)"
0002 069 030918,0002,069,1825 APPLETON ST,03/09/2018,Easterwood,Western,7,"(39.30931305, -76.64874425)"
2307A019 031116,2307A,019,2437 W NORTH AVE,03/11/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30918947, -76.65702099)"
0179 070 031418,0179,070,1713 VINE ST,03/14/2018,Franklin Square,Western,9,"(39.28999687, -76.64446748)"
2402 023 031016,2402,023,2741 W NORTH AVE,03/10/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30894488, -76.66247273)"
2402 057 031016,2402,057,1700 ASHBURTON ST,03/10/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30744314, -76.66243699)"
2406 021 031116,2406,021,2841 W NORTH AVE,03/11/2016,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,7,"(39.30884735, -76.66500262)"
0185 042 031418,0185,042,1108 W FAYETTE ST,03/14/2018,Poppleton,Western,9,"(39.29002502, -76.63637541)"
2418 063 031116,2418,063,1621 POPLAR GROVE ST,03/11/2016,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,7,"(39.30658799, -76.6653513)"
2441 010 030816,2441,010,1618 N ELLAMONT ST,03/08/2016,ROSEMONT,SOUTHWESTERN,9,"(39.30623418, -76.67108776)"
2445 034 030716,2445,034,2928 RIGGS AVE,03/07/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30025395, -76.66692907)"
2506A013 031116,2506A,013,715 MOUNT HOLLY ST,03/11/2016,EDGEWOOD,SOUTHWESTERN,8,"(39.29580061, -76.67963706)"
0192 079 031418,0192,079,1922 W FAIRMOUNT AVE,03/14/2018,Penrose/Fayette Street Outreach,Western,9,"(39.28899402, -76.64792514)"
0194 015 031418,0194,015,25 N FULTON AVE,03/14/2018,Franklin Square,Western,9,"(39.28898472, -76.64495378)"
1456 058 030918,1456,058,1742 E LANVALE ST,03/09/2018,Broadway East,Eastern,12,"(39.30985123, -76.59316159)"
1457 052 031418,1457,052,1704 N WOLFE ST,03/14/2018,Broadway East,Eastern,12,"(39.30990254, -76.5918452)"
1629 013 031418,1629,013,725 N LINWOOD AVE,03/14/2018,Madison-Eastend,Eastern,13,"(39.29986686, -76.57645157)"
1640 017 031318,1640,017,632 N MILTON AVE,03/13/2018,McElderry Park,Southeastern,13,"(39.29838001, -76.58250842)"
1642 046 031318,1642,046,2623 E MONUMENT ST,03/13/2018,McElderry Park,Southeastern,13,"(39.29874312, -76.58007051)"
1646 036F 030918,1646,036F,3006 MCELDERRY ST,03/09/2018,Ellwood Park/Monument,Southeastern,13,"(39.29821043, -76.57487726)"
1677 046 031418,1677,046,420 N CURLEY ST,03/14/2018,Ellwood Park/Monument,Southeastern,13,"(39.29654618, -76.57595186)"
1691 017 031318,1691,017,233 N MILTON AVE,03/13/2018,McElderry Park,Southeastern,13,"(39.29537144, -76.58182683)"
2445 022 031518,2445,022,2904 RIGGS AVE,03/15/2018,Franklintown Road,Southwestern,9,"(39.30047283, -76.66612649)"
2450 027 030918,2450,027,3208 BRIGHTON ST,03/09/2018,Rosemont,Southwestern,9,"(39.30527618, -76.67133415)"
2454 055 030918,2454,055,1433 N ELLAMONT ST,03/09/2018,Rosemont,Southwestern,9,"(39.30402068, -76.67034625)"
4021B019 031218,4021B,019,736 BARTLETT AVE,03/12/2018,East Baltimore Midway,Eastern,12,"(39.31585795, -76.60554532)"
4577 037 030918,4577,037,3604 OAKMONT AVE,03/09/2018,Central Park Heights,Northwestern,6,"(39.3443193, -76.67702469)"
7132 023 031118,7132,023,4212 AUDREY AVE,03/11/2018,Brooklyn,Southern,10,"(39.22966259, -76.6055356)"
0148 018 031518,0148,018,1816 W SARATOGA ST,03/15/2018,Franklin Square,Western,9,"(39.29219503, -76.64594167)"
2542 017 031016,2542,017,212 S COLLINS AVE,03/10/2016,IRVINGTON,SOUTHWESTERN,8,"(39.28283004, -76.68371017)"
2755 010 031016,2755,010,3809 BONNER ROAD,03/10/2016,CONCERNED CITIZENS OF FOREST PARK,NORTHWESTERN,6,"(39.32267983, -76.68239714)"
2901 001 030716,2901,001,3701 W FOREST PARK AVE,03/07/2016,FOREST PARK,NORTHWESTERN,6,"(39.32520817, -76.67967628)"
3061A026 031116,3061A,026,3313 ALTO ROAD,03/11/2016,HANLON-LONGWOOD,NORTHWESTERN,7,"(39.31714857, -76.67350752)"
0151 040 031518,0151,040,306 N STRICKER ST,03/15/2018,Franklin Square,Western,9,"(39.2923795, -76.64143851)"
3176 028 031016,3176,028,2814 VIOLET AVE,03/10/2016,PARK CIRCLE,NORTHWESTERN,6,"(39.32986233, -76.66222642)"
0155 021 031518,0155,021,305 N CARROLLTON AVE,03/15/2018,Poppleton,Western,9,"(39.29253274, -76.63667785)"
3572 001A 030716,3572,001A,0  ,03/07/2016,WOODBERRY,NORTHERN,7,"(39.3339831, -76.64485367)"
3813 046 031016,3813,046,336 E 21ST ST,03/10/2016,BARCLAY,EASTERN,12,"(39.3136377, -76.61153797)"
4536A128 031116,4536A,128,5302 MAPLE AVE,03/11/2016,PIMLICO GOOD NEIGHBORS,NORTHWESTERN,5,"(39.35123971, -76.67777092)"
5150 004 030816,5150,004,600 TUNBRIDGE ROAD,03/08/2016,MID-GOVANS,NORTHERN,4,"(39.35658363, -76.60787716)"
4131 021 030916,4131,021,1567 CARSWELL ST,03/09/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.32227105, -76.59528329)"
4139 026 030916,4139,026,2738 HARFORD ROAD,03/09/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.32126573, -76.59106094)"
0244 034 031418,0244,034,1708 W PRATT ST,03/14/2018,Union Square,Southern,9,"(39.28546584, -76.64422012)"
1125 027 031418,1125,027,1526 N CAROLINE ST,03/14/2018,Oliver,Eastern,12,"(39.30801112, -76.5984887)"
1127 051 031018,1127,051,1516 N BROADWAY ,03/10/2018,Oliver,Eastern,12,"(39.30782315, -76.59524828)"
1138 114 031418,1138,114,1424 N BETHEL ST,03/14/2018,Oliver,Eastern,12,"(39.30694248, -76.59619704)"
1145 032 031418,1145,032,1336 AISQUITH ST,03/14/2018,Oliver,Eastern,12,"(39.30581833, -76.60250549)"
1149B010 031418,1149B,010,1308 N CAROLINE ST,03/14/2018,Oliver,Eastern,12,"(39.30549858, -76.59831742)"
7056A018 030816,7056A,018,3438 6TH ST,03/08/2016,BROOKLYN,SOUTHERN,10,"(39.23953056, -76.6010089)"
1488 010 031018,1488,010,2718 E OLIVER ST,03/10/2018,Berea,Eastern,13,"(39.30825541, -76.57944177)"
1499 030 031418,1499,030,2058 E HOFFMAN ST,03/14/2018,Broadway East,Eastern,13,"(39.30685098, -76.58855492)"
1504 014 031518,1504,014,2407 E OLIVER ST,03/15/2018,Broadway East,Eastern,13,"(39.30771059, -76.58397381)"
1505 055 031018,1505,055,1417 N MILTON AVE,03/10/2018,Berea,Eastern,13,"(39.30754858, -76.58251362)"
1521 037 031018,1521,037,2525 E HOFFMAN ST,03/10/2018,Berea,Eastern,13,"(39.30672535, -76.58196364)"
1542 076 031218,1542,076,1224 N POTOMAC ST,03/12/2018,Berea,Eastern,13,"(39.30563265, -76.57587493)"
1544 028 031018,1544,028,3113 E PRESTON ST,03/10/2018,Berea,Eastern,13,"(39.30598167, -76.57348886)"
1661 014 031318,1661,014,3027 MCELDERRY ST,03/13/2018,Ellwood Park/Monument,Southeastern,13,"(39.29786716, -76.57414896)"
0007 053 122915,0007,053,1726 APPLETON ST,12/29/2015,EASTERWOOD,WESTERN,7,"(39.30841552, -76.64920351)"
1667 014 031318,1667,014,429 N WASHINGTON ST,03/13/2018,CARE,Eastern,13,"(39.29616783, -76.58915519)"
1655 083 031318,1655,083,515 N PORT ST,03/13/2018,McElderry Park,Southeastern,13,"(39.29725882, -76.5827514)"
1656 063 031318,1656,063,512 N ROSE ST,03/13/2018,McElderry Park,Southeastern,13,"(39.2972657, -76.58166985)"
1657 062 031418,1657,062,514 N GLOVER ST,03/14/2018,McElderry Park,Southeastern,13,"(39.29736387, -76.58026125)"
1658 074 031318,1658,074,531 N BELNORD AVE,03/13/2018,McElderry Park,Southeastern,13,"(39.29770723, -76.57849686)"
1659 002 031318,1659,002,503 N KENWOOD AVE,03/13/2018,McElderry Park,Southeastern,13,"(39.29704801, -76.5776804)"
4581 010F 030918,4581,010F,3223 SPAULDING AVE,03/09/2018,Central Park Heights,Northwestern,6,"(39.34720285, -76.67614405)"
4609 055 031418,4609,055,3701 MANCHESTER AVE,03/14/2018,Central Park Heights,Northwestern,6,"(39.34307007, -76.67589133)"
4616 005 031318,4616,005,3008 WOODLAND AVE,03/13/2018,Central Park Heights,Northwestern,6,"(39.34659335, -76.66930237)"
5902A004 031518,5902A,004,3307 LAKE AVE,03/15/2018,Belair-Edison,Notheastern,13,"(39.32087517, -76.56943416)"
5907 031 031518,5907,031,3044 CHESTERFIELD AVE,03/15/2018,Belair-Edison,Notheastern,13,"(39.32399381, -76.56826958)"
5929 061 031518,5929,061,4340 SHAMROCK AVE,03/15/2018,Belair-Edison,Notheastern,2,"(39.3262513, -76.56241242)"
0006 032 011509,0006,032,2002 PRESBURY ST,01/15/2009,EASTERWOOD,WESTERN,7,"(39.30800597, -76.65030361)"
0031 057 032316,0031,057,1834 LAURENS ST,03/23/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30327593, -76.64742143)"
0055C063 032316,0055C,063,1104 N CARROLLTON AVE,03/23/2016,SANDTOWN-WINCHESTER,WESTERN,9,"(39.30139077, -76.63768238)"
0073 024 031616,0073,024,930 N MOUNT ST,03/16/2016,SANDTOWN-WINCHESTER,WESTERN,9,"(39.29980611, -76.6446717)"
0075 016 032416,0075,016,1515 MOSHER ST,03/24/2016,SANDTOWN-WINCHESTER,WESTERN,9,"(39.2997724, -76.64245296)"
0082 058 032416,0082,058,805 N BRICE ST,03/24/2016,MIDTOWN-EDMONDSON,WESTERN,9,"(39.2978901, -76.64974531)"
0096 052 031516,0096,052,707 N MONROE ST,03/15/2016,HARLEM PARK,WESTERN,9,"(39.29682003, -76.64715186)"
1109 040 031018,1109,040,1704 N BROADWAY ,03/10/2018,Oliver,Eastern,12,"(39.30976473, -76.5953826)"
0149 044 031616,0149,044,310 N BRUCE ST,03/16/2016,FRANKLIN SQUARE,WESTERN,9,"(39.29235262, -76.64485001)"
0244 074 031516,0244,074,1708 LEMMON ST,03/15/2016,UNION SQUARE,SOUTHERN,9,"(39.28584138, -76.64425453)"
1114 009 031418,1114,009,1216 E FEDERAL ST,03/14/2018,Oliver,Eastern,12,"(39.30845526, -76.60162772)"
0265 011 031816,0265,011,1321 W PRATT ST,03/18/2016,NEW SOUTHWEST/MOUNT CLARE,SOUTHERN,9,"(39.28532442, -76.63859617)"
0272 079 032216,0272,079,2110 WILHELM ST,03/22/2016,CARROLLTON RIDGE,SOUTHWESTERN,9,"(39.28370048, -76.6504335)"
0273 071 031716,0273,071,2003 MCHENRY ST,03/17/2016,CARROLLTON RIDGE,SOUTHERN,9,"(39.28397543, -76.64890327)"
0294 012 031416,0294,012,2422 1/2 PENNSYLVANIA AVE,03/14/2016,PENN NORTH,WESTERN,7,"(39.30963682, -76.64232212)"
0294 027 031716,0294,027,1627 W NORTH AVE,03/17/2016,PENN NORTH,WESTERN,7,"(39.30977597, -76.64324121)"
0294 054 031416,0294,054,1707 N CAREY ST,03/14/2016,PENN NORTH,WESTERN,7,"(39.30907584, -76.6427263)"
1557 015 031318,1557,015,2628 E CHASE ST,03/13/2018,Biddle Street,Eastern,13,"(39.30396501, -76.58030865)"
0321 005 032116,0321,005,1908 DRUID HILL AVE,03/21/2016,DRUID HEIGHTS,CENTRAL,11,"(39.30677018, -76.63483641)"
0620 017 032416,0620,017,107 N HOWARD ST,03/24/2016,DOWNTOWN,CENTRAL,11,"(39.29073259, -76.61921092)"
1557 017 031318,1557,017,2632 E CHASE ST,03/13/2018,Biddle Street,Eastern,13,"(39.30396909, -76.58020345)"
2424B037 030918,2424B,037,3025 PRESBURY ST,03/09/2018,Rosemont,Southwestern,9,"(39.30691744, -76.66863763)"
2960 014 030918,2960,014,3905 RIDGEWOOD AVE,03/09/2018,Dolfield,Northwestern,6,"(39.33653443, -76.6830338)"
0857 022 032316,0857,022,775 CARROLL ST,03/23/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,"(39.28197942, -76.62814903)"
1160 025 032416,1160,025,1205 E PRESTON ST,03/24/2016,OLIVER,EASTERN,12,"(39.30490826, -76.60153842)"
1163 022 031516,1163,022,1212 N BOND ST,03/15/2016,OLIVER,EASTERN,12,"(39.30482475, -76.59687707)"
1163 050 031716,1163,050,1223 N CAROLINE ST,03/17/2016,OLIVER,EASTERN,12,"(39.30476771, -76.59772551)"
5641 009 031418,5641,009,3514 ROYSTON AVE,03/14/2018,Westfield,Notheastern,2,"(39.35609285, -76.54534385)"
5695A001 031418,5695A,001,5808 BENTON HEIGHTS AVE,03/14/2018,Glenham-Belhar,Notheastern,2,"(39.34489862, -76.54476234)"
1473 025 032416,1473,025,1638 N BRADFORD ST,03/24/2016,BROADWAY EAST,EASTERN,13,"(39.30985999, -76.58529956)"
8219 008 030918,8219,008,4414 BELVIEU AVE,03/09/2018,West Arlington,Northwestern,5,"(39.33999568, -76.69538047)"
1503 045 032416,1503,045,1402 N MONTFORD AVE,03/24/2016,BROADWAY EAST,EASTERN,13,"(39.30719016, -76.58448412)"
1542 038 032116,1542,038,1232 N CURLEY ST,03/21/2016,BEREA,EASTERN,13,"(39.30577737, -76.57654284)"
0272 015 031418,0272,015,2129 MCHENRY ST,03/14/2018,Carrollton Ridge,Southwestern,9,"(39.28391166, -76.65057309)"
0272 053 031418,0272,053,2106 RAMSAY ST,03/14/2018,Carrollton Ridge,Southwestern,9,"(39.28315913, -76.6503207)"
0273 082 031418,0273,082,2018 WILHELM ST,03/14/2018,Carrollton Ridge,Southern,9,"(39.28374018, -76.64923826)"
0275 007 031418,0275,007,312 S FULTON AVE,03/14/2018,Carrollton Ridge,Southern,9,"(39.28397225, -76.64520155)"
0275 009 031118,0275,009,316 S FULTON AVE,03/11/2018,Carrollton Ridge,Southern,9,"(39.28390293, -76.64519794)"
0275 018 031118,0275,018,334 S FULTON AVE,03/11/2018,Carrollton Ridge,Southern,9,"(39.28346241, -76.64516498)"
0275 108 031418,0275,108,1828 WILHELM ST,03/14/2018,Carrollton Ridge,Southern,9,"(39.28382093, -76.64599967)"
0276 031 030918,0276,031,341 S FULTON AVE,03/09/2018,New Southwest/Mount Clare,Southern,9,"(39.28353753, -76.64470027)"
0276 032 031118,0276,032,343 S FULTON AVE,03/11/2018,New Southwest/Mount Clare,Southern,9,"(39.28350462, -76.64469834)"
0276 035 031518,0276,035,349 S FULTON AVE,03/15/2018,New Southwest/Mount Clare,Southern,9,"(39.28340587, -76.64469258)"
0277 022 031118,0277,022,1608 WILKENS AVE,03/11/2018,New Southwest/Mount Clare,Southern,9,"(39.28363481, -76.64260753)"
0411 050 031018,0411,050,744 DOLPHIN ST,03/10/2018,Upton,Central,11,"(39.29756259, -76.63268275)"
1558 022 031318,1558,022,2718 E CHASE ST,03/13/2018,Biddle Street,Eastern,13,"(39.30401119, -76.5791602)"
1613 012 031418,1613,012,823 N LINWOOD AVE,03/14/2018,Madison-Eastend,Eastern,13,"(39.3006603, -76.57650441)"
1625 030 031418,1625,030,2511 E MADISON ST,03/14/2018,Milton-Montford,Eastern,13,"(39.29974237, -76.58154888)"
1625 077 031418,1625,077,718 N ROSE ST,03/14/2018,Milton-Montford,Eastern,13,"(39.29949362, -76.58181675)"
1626 021 031418,1626,021,2617 E MADISON ST,03/14/2018,Madison-Eastend,Eastern,13,"(39.29979019, -76.58042489)"
1715 042 031418,1715,042,3100 E FAIRMOUNT AVE,03/14/2018,Patterson Park Neighborhood,Southeastern,1,"(39.29364985, -76.57301615)"
1857 004 030918,1857,004,707 S GLOVER ST,03/09/2018,Canton,Southeastern,1,"(39.28390202, -76.57900321)"
2301 016 030918,2301,016,2113 WESTWOOD AVE,03/09/2018,Easterwood,Western,7,"(39.30845275, -76.65198291)"
2318 038 031418,2318,038,1574 MORELAND AVE,03/14/2018,Coppin Heights/Ash-Co-East,Western,7,"(39.30619989, -76.65605468)"
3172 011 030918,3172,011,2805 ROCKROSE AVE,03/09/2018,Park Circle,Northwestern,6,"(39.3290165, -76.66119343)"
3183 017 031518,3183,017,2811 QUANTICO AVE,03/15/2018,Towanda-Grantley,Northwestern,6,"(39.33561557, -76.6663153)"
3185 018 031418,3185,018,2815 W COLD SPRING LANE,03/14/2018,Towanda-Grantley,Northwestern,6,"(39.33814023, -76.66901761)"
3203 056 030918,3203,056,1922 N BENTALOU ST,03/09/2018,Mondawmin,Western,7,"(39.31058231, -76.65440264)"
3445 007 030918,3445,007,2212 CALLOW AVE,03/09/2018,Reservoir Hill,Central,7,"(39.31310925, -76.6317235)"
3447 036 030918,3447,036,2329 LINDEN AVE,03/09/2018,Reservoir Hill,Central,7,"(39.31377264, -76.63502933)"
3459 020 030918,3459,020,910 NEWINGTON AVE,03/09/2018,Reservoir Hill,Central,7,"(39.31384827, -76.63309753)"
3502A021 031318,3502A,021,3140 KESWICK ROAD,03/13/2018,Hampden,Northern,14,"(39.32543535, -76.62800475)"
0009 031 120508,0009,031,1707 WESTWOOD AVE,12/05/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30868471, -76.64521986)"
0009 033 082012,0009,033,1703 WESTWOOD AVE,08/20/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30868774, -76.64511791)"
0009 037 081607,0009,037,1722 N MOUNT ST,08/16/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30848991, -76.64516322)"
0308 040 030918,0308,040,2132 DRUID HILL AVE,03/09/2018,Druid Heights,Central,7,"(39.30871745, -76.63724822)"
0314 005 030918,0314,005,2008 DRUID HILL AVE,03/09/2018,Druid Heights,Central,11,"(39.30754456, -76.63580814)"
0314 016 030918,0314,016,2030 DRUID HILL AVE,03/09/2018,Druid Heights,Central,11,"(39.30788701, -76.636233)"
0317 017 030918,0317,017,2033 MADISON AVE,03/09/2018,Madison Park,Central,11,"(39.30938731, -76.63436766)"
0320 057 031018,0320,057,1918 DIVISION ST,03/10/2018,Upton,Central,11,"(39.30615772, -76.63618529)"
0322 037 030918,0322,037,1915 DRUID HILL AVE,03/09/2018,Druid Heights,Central,11,"(39.30713416, -76.63452317)"
0699 089 031418,0699,089,1917 CHRISTIAN ST,03/14/2018,Carrollton Ridge,Southern,9,"(39.28238271, -76.64732663)"
0706 034 031418,0706,034,1718 COLE ST,03/14/2018,New Southwest/Mount Clare,Southern,9,"(39.28230262, -76.64434671)"
1592 019 032316,1592,019,2536 E EAGER ST,03/23/2016,MILTON-MONTFORD,EASTERN,13,"(39.3020481, -76.58151278)"
1610 029H 032416,1610,029H,2639 ASHLAND AVE,03/24/2016,MADISON-EASTEND,EASTERN,13,"(39.30087416, -76.57979432)"
0708 079 031418,0708,079,432 S PARRISH ST,03/14/2018,New Southwest/Mount Clare,Southern,9,"(39.28249197, -76.64149747)"
1277 033 031318,1277,033,564 OLDTOWN MALL,03/13/2018,Oldtown,Eastern,12,"(39.29735924, -76.60284393)"
1288 062 031418,1288,062,573 OLDTOWN MALL,03/14/2018,Oldtown,Eastern,12,"(39.29716159, -76.60243262)"
1446 082 031418,1446,082,1804 N REGESTER ST,03/14/2018,Broadway East,Eastern,12,"(39.31108321, -76.59433717)"
1446 103 031418,1446,103,1823 N REGESTER ST,03/14/2018,Broadway East,Eastern,12,"(39.31139777, -76.59383537)"
2541 018 031518,2541,018,11 S AUGUSTA AVE,03/15/2018,Irvington,Southwestern,8,"(39.28558617, -76.68442389)"
3908 025 031018,3908,025,709 BELGIAN AVE,03/10/2018,Pen Lucy,Northern,4,"(39.34023698, -76.60546448)"
2138 026 032316,2138,026,455 BRUNSWICK ST,03/23/2016,MILLHILL,SOUTHWESTERN,9,"(39.27940532, -76.65913947)"
2199G007 032116,2199G,007,150 S HILTON ST,03/21/2016,SAINT JOSEPHS,SOUTHWESTERN,8,"(39.28336832, -76.67242437)"
2201 020 032316,2201,020,2339 EDMONDSON AVE,03/23/2016,ROSEMONT HOMEOWNERS/TENANTS,WESTERN,9,"(39.29452829, -76.6544517)"
4071 025 031118,4071,025,515 E 28TH ST,03/11/2018,Better Waverly,Northern,14,"(39.32191449, -76.60809311)"
2247 020 032116,2247,020,230 S MONASTERY AVE,03/21/2016,IRVINGTON,SOUTHWESTERN,8,"(39.28334502, -76.6812959)"
2275A001 031816,2275A,001,246 N HILTON ST,03/18/2016,ALLENDALE,SOUTHWESTERN,8,"(39.28986146, -76.67284465)"
2286 032 032416,2286,032,3511 W MULBERRY ST,03/24/2016,ALLENDALE,SOUTHWESTERN,8,"(39.29163522, -76.67619861)"
2297 012 031616,2297,012,422 N LOUDON AVE,03/16/2016,ALLENDALE,SOUTHWESTERN,8,"(39.29234194, -76.68277277)"
4544B009 030918,4544B,009,5263 CORDELIA AVE,03/09/2018,Arlington,Northwestern,5,"(39.34683763, -76.68242316)"
2348 017 031416,2348,017,2332 EDMONDSON AVE,03/14/2016,ROSEMONT HOMEOWNERS/TENANTS,WESTERN,9,"(39.29506303, -76.65431193)"
4552 108 030918,4552,108,3315 PATON AVE,03/09/2018,Arlington,Northwestern,5,"(39.34878614, -76.67743624)"
2443A024 031716,2443A,024,2915 BELMONT AVE,03/17/2016,WINCHESTER,SOUTHWESTERN,9,"(39.30327997, -76.6659239)"
2445 064 031516,2445,064,2907 WINCHESTER ST,03/15/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30108813, -76.66619769)"
1686 003 031516,1686,003,2031 ORLEANS ST,03/15/2016,CARE,Eastern,13,"(39.29518214, -76.5882701)"
2475 009 031716,2475,009,3016 EDMONDSON AVE,03/17/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29459084, -76.66727238)"
2475 026 031516,2475,026,3050 EDMONDSON AVE,03/15/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29456252, -76.66814195)"
2475E036 031516,2475E,036,3036 HARLEM AVE,03/15/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29596426, -76.6679032)"
0563 037 030918,0563,037,214 W MULBERRY ST,03/09/2018,Downtown,Central,11,"(39.29413538, -76.61889342)"
2523B009 031716,2523B,009,917 ALLENDALE ST,03/17/2016,EDGEWOOD,SOUTHWESTERN,8,"(39.29852452, -76.67838633)"
2537 023 032416,2537,023,4124 WALRAD ST,03/24/2016,IRVINGTON,SOUTHWESTERN,8,"(39.28018866, -76.6842452)"
0696 057 031118,0696,057,509 S BENTALOU ST,03/11/2018,Carrollton Ridge,Southwestern,9,"(39.28127881, -76.65217754)"
2733 011 031516,2733,011,4002 MAINE AVE,03/15/2016,CENTRAL FOREST PARK,NORTHWESTERN,6,"(39.32748673, -76.68610865)"
0696 060 031118,0696,060,503 S BENTALOU ST,03/11/2018,Carrollton Ridge,Southwestern,9,"(39.28138322, -76.65223544)"
1101 060 031018,1101,060,1800 N BOND ST,03/10/2018,Oliver,Eastern,12,"(39.31067377, -76.59724836)"
1102 040 031018,1102,040,1806 N BROADWAY ,03/10/2018,Oliver,Eastern,12,"(39.31087322, -76.59543814)"
3085A059 032416,3085A,059,2135 KOKO LANE,03/24/2016,PANWAY/BRADDISH AVENUE,WESTERN,7,"(39.31228221, -76.66306491)"
3207 069 031516,3207,069,1905 HERBERT ST,03/15/2016,MONDAWMIN,WESTERN,7,"(39.3102319, -76.6486453)"
1155 008 031418,1155,008,1217 GREENMOUNT AVE,03/14/2018,Johnston Square,Eastern,12,"(39.30418151, -76.6077857)"
