ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
2324 051 091815,2324,051,1617 N SMALLWOOD ST,09/18/2015,EASTERWOOD,WESTERN,7,"(39.30686737, -76.65224667)"
2325 002 010313,2325,002,1503 N SMALLWOOD ST,01/03/2013,EASTERWOOD,WESTERN,7,"(39.30547629, -76.65219025)"
2325 014B 052609,2325,014B,2109 BAKER ST,05/26/2009,EASTERWOOD,WESTERN,7,"(39.30626719, -76.65182776)"
2443B010 100608,2443B,010,2918 ELLICOTT DRIVEWAY ,10/06/2008,WINCHESTER,SOUTHWESTERN,9,"(39.30225143, -76.66639903)"
2445 009 081508,2445,009,1120 POPLAR GROVE ST,08/15/2008,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30090561, -76.66575258)"
2445 010 032008,2445,010,1118 POPLAR GROVE ST,03/20/2008,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30086457, -76.66574929)"
2445 029 070513,2445,029,2918 RIGGS AVE,07/05/2013,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30033411, -76.66662495)"
2445 031 030813,2445,031,2922 RIGGS AVE,03/08/2013,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30029528, -76.66676799)"
2445 035 102006,2445,035,2930 RIGGS AVE,10/20/2006,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30024343, -76.66697784)"
2445 060 101707,2445,060,2915 WINCHESTER ST,10/17/2007,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.30106546, -76.66642276)"
2445 066 082214,2445,066,2903 WINCHESTER ST,08/22/2014,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.3010924, -76.66609938)"
2446A003 021313,2446A,003,1005 N ROSEDALE ST,02/13/2013,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29963507, -76.66771897)"
